start_m,start_s,end_m,end_s,half,from,to,type,subtype,nearest_pressure,start_x,start_y,end_x,end_y,press_x,press_y
0,0,0,0,1,fernandes,,set,kickoff,,52.5,34,,,,
0,0,0,1,1,fernandes,ronaldo,pass,b,,52.5,34,55.8,31.3,,
0,1,0,2,1,ronaldo,matic,pass,backwards,odegaard,55.8,31.3,65.6,33.4,55.7,30.4
0,2,0,3,1,matic,dalot,pass,backwards,nketiah,65.6,33.4,72.2,55.2,63.4,36.4
0,5,,,1,gabriel,,won,intercepted.longball,,29.7,43,,,,
0,7,,,1,elneny,,won,loose.recovered,fernandes,37.6,40,,,,
0,8,0,10,1,elneny,cedric,pass,backwards,fernandes,37.6,40,28.8,18.3,37.4,42.6
0,10,,,1,sancho,,won,intercepted.p,,35.4,18.9,,,,
0,14,0,17,1,saka,,dribble,sideways,matic,56.2,0.4,55.6,3.8,,
0,30,0,32,1,white,gabriel,pass,backwards,,56.1,10.2,47.6,35.7,,
0,32,0,33,1,gabriel,,dribble,,,47.6,35.7,48.7,37.7,,
0,33,0,35,1,gabriel,tavares,pass,forward,,48.7,37.7,67.9,66.2,,
0,37,0,38,1,tavares,xhaka,pass,backwards,elanga,67.9,66.2,62.5,62.1,67.9,66
0,38,0,39,1,xhaka,,dribble,backwards,mctominay,62.5,62.1,57.4,62.5,66,62.1
0,40,0,41,1,xhaka,gabriel,pass,backwards,,57.4,62.5,37.8,62.3,,
0,42,0,44,1,gabriel,white,pass,sideways,,37.8,62.3,33.6,25.8,,
0,45,0,49,1,white,,dribble,forward,,33.6,25.8,55,16.4,,
0,51,0,51,1,telles,,won,intercepted.longball,saka,83.1,10.3,,,,
0,53,0,53,1,cedric,,won,intercepted.p.header,sancho,64.8,3.3,,,65.8,4.3
0,53,0,54,1,cedric,saka,pass,forward,sancho,64.8,3.3,79.7,4.7,,
0,55,0,55,1,sancho,,won,loose.recovered,cedric,70.7,6.2,,,70,6.2
0,55,0,56,1,sancho,matic,pass,sideways,cedric,70.7,6.2,73.6,14.9,70.5,6.2
0,58,0,59,1,matic,ronaldo,pass,forward,odegaard,73.6,14.9,62.1,24.4,74,14.9
0,1,1,1,1,ronaldo,lindelof,pass,backwards,,62.1,24.4,78.4,40.8,,
1,2,1,3,1,lindelof,dalot,pass,sideways,,78.4,40.8,66.8,54,,
1,7,1,7,1,gabriel,,won,intercepted.longball,,30.2,49.7,,,,
1,9,1,9,1,fernandes,,won,loose.recovered,,33.2,51.8,,,,
